ID,Sentence,Word_Count,Word,Lex,D3Tok,D3Lex,Readability_Level,Readability_Level_19,Readability_Level_7,Readability_Level_5,Readability_Level_3,Annotator,Document,Source,Book,Author,Domain,Text_Class,split
10100350011,ولم يستطع أحد الإجابة على كل الأسئلة..,9,ولم يستطع أحد الإجابة على كل الأسئلة . .,لم ٱستطاع أحد إجابة على كل سؤال . .,و+ لم يستطع أحد ال+ إجابة على كل ال+ أسئلة . .,و+ لم ٱستطاع أحد ال+ إجابة على كل ال+ سؤال . .,8-Ha,8,3,2,1,IAA,BAREC_Majed_0413_1987_007.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100350032,واستطاعت الضفدعة أن تقفز وتنجو بفضل صبرها وشجاعتها.,9,واستطاعت الضفدعة أن تقفز وتنجو بفضل صبرها وشجاعتها .,ٱستطاع ضفدعه أن قفز نجا فضل صبر شجاعة .,و+ استطاعت ال+ ضفدعه أن تقفز و+ تنجو ب+ فضل صبر +ها و+ شجاعة +ها .,و+ ٱستطاع ال+ ضفدعه أن قفز و+ نجا ب+ فضل صبر +ها و+ شجاعة +ها .,8-Ha,8,3,2,1,IAA,BAREC_Majed_0413_1987_007.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100360082,اشترى رجل ساعة جديدة..,6,اشترى رجل ساعة جديدة . .,ٱشترى رجل ساعة جديد . .,اشترى رجل ساعة جديدة . .,ٱشترى رجل ساعة جديد . .,7-zay,7,2,1,1,IAA,BAREC_Majed_0413_1987_008.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100360083,وكانت هذه هي المرة الأولى التي يحمل فيها ساعة..,11,وكانت هذه هي المرة الأولى التي يحمل فيها ساعة . .,كان هذا هي مرة أول الذي حمل في ساعة . .,و+ كانت هذه هي ال+ مرة ال+ أولى التي يحمل في +ها ساعة . .,و+ كان هذا هي ال+ مرة ال+ أول الذي حمل في +ها ساعة . .,10-ya,10,4,2,1,IAA,BAREC_Majed_0413_1987_008.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100370050,قال جحا: -أنت لم تدرب الفأر على الطريق..,12,قال جحا : - أنت لم تدرب الفأر على الطريق . .,قال جحا : - أنت لم درب فأر على طريق . .,قال جحا : - أنت لم تدرب ال+ فار على ال+ طريق . .,قال جحا : - أنت لم درب ال+ فأر على ال+ طريق . .,8-Ha,8,3,2,1,IAA,BAREC_Majed_0413_1987_009.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100370054,لماذا تجري بهذه السرعة؟,5,لماذا تجري بهذه السرعة ؟,لماذا أجرى هذا سرعة ؟,لماذا تجري ب+ هذه ال+ سرعة ؟,لماذا أجرى ب+ هذا ال+ سرعة ؟,7-zay,7,2,1,1,IAA,BAREC_Majed_0413_1987_009.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100390042,قال لها: اذهبي إلى أم جميل بنت الخطاب، فاسأليها عنه، ,13,"قال لها : اذهبي إلى أم جميل بنت الخطاب , فاسأليها عنه ,","قال ل : اذهبي إلى أم جميل بنت خطاب , اساليها عن ,","قال ل +ها : اذهبي إلى أم جميل بنت ال+ خطاب , ف+ اساليها عن +ه ,","قال ل +ها : اذهبي إلى أم جميل بنت ال+ خطاب , ف+ اساليها عن +ه ,",8-Ha,8,3,2,1,IAA,BAREC_Majed_0413_1987_011.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100400051,جلس حمدان وأبوه بين أفراد العائلة، ,7,"جلس حمدان وأبوه بين أفراد العائلة ,","جلس حمدان أب بين فرد عائلة ,","جلس حمدان و+ أبو +ه بين أفراد ال+ عائلة ,","جلس حمدان و+ أب +ه بين فرد ال+ عائلة ,",7-zay,7,2,1,1,IAA,BAREC_Majed_0413_1987_012.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100410031,-تعالي هنا يا قردة..,7,- تعالي هنا يا قردة . .,- تعالى هنا يا قرد . .,- تعالي هنا يا قردة . .,- تعالى هنا يا قرد . .,9-ta,9,3,2,1,IAA,BAREC_Majed_0413_1987_013.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100410034,-نظفي هذه الحجرة..,6,- نظفي هذه الحجرة . .,- نظفي هذا حجرة . .,- نظفي هذه ال+ حجرة . .,- نظفي هذا ال+ حجرة . .,7-zay,7,2,1,1,IAA,BAREC_Majed_0413_1987_013.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100430018,غزال مثلًا… أو نوع من الأرانب غالى الثمن! .. أو طائر صغير ضعيف يحبسونه في قفص ليغني لهم..,23,غزال مثلا . . . أو نوع من الأرانب غالى الثمن ! . . أو طائر صغير ضعيف يحبسونه في قفص ليغني لهم . .,غزال مثل . . . أو نوع من أرنب غالي ثمن ! . . أو طائر صغير ضعيف حبس في قفص غنى ل . .,غزال مثلا . . . أو نوع من ال+ أرانب غالي ال+ ثمن ! . . أو طائر صغير ضعيف يحبسون +ه في قفص ل+ يغني ل +هم . .,غزال مثل . . . أو نوع من ال+ أرنب غالي ال+ ثمن ! . . أو طائر صغير ضعيف حبس +ه في قفص ل+ غنى ل +هم . .,11-kaf,11,4,2,1,IAA,BAREC_Majed_0413_1987_015.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100440015,وبنهاية القرن الخامس عشر، أصبحت الجزر جميعا مأهولة بالسكان، ,11,"وبنهاية القرن الخامس عشر , أصبحت الجزر جميعا مأهولة بالسكان ,","نهاية قرن خامس عشر , أصبح جزيرة جميع مأهول ساكن ,","و+ ب+ نهاية ال+ قرن ال+ خامس عشر , أصبحت ال+ جزر جميعا مأهولة ب+ ال+ سكان ,","و+ ب+ نهاية ال+ قرن ال+ خامس عشر , أصبح ال+ جزيرة جميع مأهول ب+ ال+ ساكن ,",10-ya,10,4,2,1,IAA,BAREC_Majed_0413_1987_016.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100460003,ولد (برايل) قرب باريس في 4 يناير 1809، ,11,"ولد ( برايل ) قرب باريس في 4 يناير 1809 ,","ولد ( برايل ) قرب باريس في 4 يناير 1809 ,","ولد ( برايل ) قرب باريس في 4 يناير 1809 ,","ولد ( برايل ) قرب باريس في 4 يناير 1809 ,",10-ya,10,4,2,1,IAA,BAREC_Majed_0413_1987_018.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100490018,ابنتي حبيبتي,2,ابنتي حبيبتي,ٱبن حبيب,ابنة +ي حبيبة +ي,ٱبن +ي حبيب +ي,5-ha,5,2,1,1,IAA,BAREC_Majed_0413_1987_021.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100510007,الميناء مفتوح..,4,الميناء مفتوح . .,ميناء مفتوح . .,ال+ ميناء مفتوح . .,ال+ ميناء مفتوح . .,3-jim,3,1,1,1,IAA,BAREC_Majed_0413_1987_023.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100510047,لهجة هذا القبطان غير مريحة!!,7,لهجة هذا القبطان غير مريحة ! !,لهجة هذا قبطان غير مريح ! !,لهجة هذا ال+ قبطان غير مريحة ! !,لهجة هذا ال+ قبطان غير مريح ! !,8-Ha,8,3,2,1,IAA,BAREC_Majed_0413_1987_023.txt,Majed,Edition: 413,#,Arts & Humanities,Foundational,train
10100560067,شاكر حسين صالح,3,شاكر حسين صالح,شاكر حسين صالح,شاكر حسين صالح,شاكر حسين صالح,12-lam,12,5,3,2,IAA,BAREC_Majed_0670_1991_003.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100560068,صنعاء – اليمن,3,صنعاء - اليمن,صنعاء - يمن,صنعاء - ال+ يمن,صنعاء - ال+ يمن,3-jim,3,1,1,1,IAA,BAREC_Majed_0670_1991_003.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100560091,يحيى بوعيسى – الدار,4,يحيى بوعيسى - الدار,يحيى بوعيسي - دار,يحيى بوعيسي - ال+ دار,يحيى بوعيسي - ال+ دار,7-zay,7,2,1,1,IAA,BAREC_Majed_0670_1991_003.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100570061,لقد نسيت..,4,لقد نسيت . .,قد نسي . .,ل+ قد نسيت . .,ل+ قد نسي . .,10-ya,10,4,2,1,IAA,BAREC_Majed_0670_1991_004.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100570066,إنه مثير للدهشة,3,إنه مثير للدهشة,إن مثير دهشة,إن +ه مثير ل+ ال+ دهشة,إن +ه مثير ل+ ال+ دهشة,10-ya,10,4,2,1,IAA,BAREC_Majed_0670_1991_004.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100590040,أشرف محمد الصادق,3,أشرف محمد الصادق,أشرف محمد صادق,أشرف محمد ال+ صادق,أشرف محمد ال+ صادق,3-jim,3,1,1,1,IAA,BAREC_Majed_0670_1991_006.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100590060,أو كان مصير هذه الأرض ما آل إليه أمر الظبي المسكين، الذي صار هزيلًا من الجوع، ,18,"أو كان مصير هذه الأرض ما آل إليه أمر الظبي المسكين , الذي صار هزيلا من الجوع ,","أو كان مصير هذا أرض ما آل إلى أمر ظبي مسكين , الذي صار هزيل من جوع ,","أو كان مصير هذه ال+ أرض ما آل إلى +ه أمر ال+ ظبي ال+ مسكين , الذي صار هزيلا من ال+ جوع ,","أو كان مصير هذا ال+ أرض ما آل إلى +ه أمر ال+ ظبي ال+ مسكين , الذي صار هزيل من ال+ جوع ,",12-lam,12,5,3,2,IAA,BAREC_Majed_0670_1991_006.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100590062,وأضاف الأب: وتلك عاقبة من يستسلم لأعدائه، ويغتر بأقوالهم، وأفعالهم.,14,"وأضاف الأب : وتلك عاقبة من يستسلم لأعدائه , ويغتر بأقوالهم , وأفعالهم .","أضاف أب : ذلك عاقبة من ٱستسلم عدو , ٱغتر قول , فعل .","و+ أضاف ال+ أب : و+ تلك عاقبة من يستسلم ل+ أعداء +ه , و+ يغتر ب+ أقوال +هم , و+ أفعال +هم .","و+ أضاف ال+ أب : و+ ذلك عاقبة من ٱستسلم ل+ عدو +ه , و+ ٱغتر ب+ قول +هم , و+ فعل +هم .",12-lam,12,5,3,2,IAA,BAREC_Majed_0670_1991_006.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100590069,روى مليونير أمريكي.. كيف جمع ثروته، ,9,"روى مليونير أمريكي . . كيف جمع ثروته ,","روى مليونير أمريكي . . كيف جمع ثروة ,","روى مليونير أمريكي . . كيف جمع ثروة +ه ,","روى مليونير أمريكي . . كيف جمع ثروة +ه ,",7-zay,7,2,1,1,IAA,BAREC_Majed_0670_1991_006.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100590080,بسام جعفر الدرازي,3,بسام جعفر الدرازي,بسام جعفر درازي,بسام جعفر ال+ درازي,بسام جعفر ال+ درازي,6-waw,6,2,1,1,IAA,BAREC_Majed_0670_1991_006.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100590089,علق أهالي إحدى القرى شمالي (تشيكوسلوفاكيا) لافتة طريفة على تمثال للزعيم السوفييتي (ستالين).. كتبوا عليها ساخرين من التمثال.. كلمة (للبيع)!,31,علق أهالي إحدى القرى شمالي ( تشيكوسلوفاكيا ) لافتة طريفة على تمثال للزعيم السوفييتي ( ستالين ) . . كتبوا عليها ساخرين من التمثال . . كلمة ( للبيع ) !,علق أهل أحد قرية شمالي ( تشيكوسلوفاكيا ) لافتة طريف على تمثال زعيم سوفيتي ( ستالين ) . . كتب على ساخر من تمثال . . كلمة ( بيع ) !,علق أهالي إحدى ال+ قرى شمالي ( تشيكوسلوفاكيا ) لافتة طريفة على تمثال ل+ ال+ زعيم ال+ سوفييتي ( ستالين ) . . كتبوا على +ها ساخرين من ال+ تمثال . . كلمة ( ل+ ال+ بيع ) !,علق أهل أحد ال+ قرية شمالي ( تشيكوسلوفاكيا ) لافتة طريف على تمثال ل+ ال+ زعيم ال+ سوفيتي ( ستالين ) . . كتب على +ها ساخر من ال+ تمثال . . كلمة ( ل+ ال+ بيع ) !,14-nun,14,6,4,3,IAA,BAREC_Majed_0670_1991_006.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100600011,الكرك – الأردن,3,الكرك - الأردن,كرك - أردن,ال+ كرك - ال+ أردن,ال+ كرك - ال+ أردن,3-jim,3,1,1,1,IAA,BAREC_Majed_0670_1991_007.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100600016,مصطفى الشعيري,2,مصطفى الشعيري,مصطفى شعيري,مصطفى ال+ شعيري,مصطفى ال+ شعيري,7-zay,7,2,1,1,IAA,BAREC_Majed_0670_1991_007.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100600028,الزرقاء – الأردن,3,الزرقاء - الأردن,زرقاء - أردن,ال+ زرقاء - ال+ أردن,ال+ زرقاء - ال+ أردن,3-jim,3,1,1,1,IAA,BAREC_Majed_0670_1991_007.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100610020,-مجلة ثقافية رائعة، تقدم للأصدقاء كل ما هو جديد ومفيد ينمي ثقافتهم ويوسع مداركهم.,17,"- مجلة ثقافية رائعة , تقدم للأصدقاء كل ما هو جديد ومفيد ينمي ثقافتهم ويوسع مداركهم .","- مجلة ثقافي رائع , قدم صديق كل ما هو جديد مفيد نمى ثقافة وسع مدارك .","- مجلة ثقافية رائعة , تقدم ل+ ال+ أصدقاء كل ما هو جديد و+ مفيد ينمي ثقافة +هم و+ يوسع مدارك +هم .","- مجلة ثقافي رائع , قدم ل+ ال+ صديق كل ما هو جديد و+ مفيد نمى ثقافة +هم و+ وسع مدارك +هم .",12-lam,12,5,3,2,IAA,BAREC_Majed_0670_1991_008.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100620055,وماذا بشأن الأصوات؟,4,وماذا بشأن الأصوات ؟,ماذا شأن صوت ؟,و+ ماذا ب+ شأن ال+ أصوات ؟,و+ ماذا ب+ شأن ال+ صوت ؟,8-Ha,8,3,2,1,IAA,BAREC_Majed_0670_1991_009.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100630012,إذ نلاحظ أن كريات الدم الحمراء التي تحمل الغذاء إلى جميع أجزاء الجسم، قد تغير شكلها في الفضاء..,21,"إذ نلاحظ أن كريات الدم الحمراء التي تحمل الغذاء إلى جميع أجزاء الجسم , قد تغير شكلها في الفضاء . .","إذ لاحظ أن كرية دم أحمر الذي حمل غذاء إلى جميع جزء جسم , قد تغير شكل في فضاء . .","إذ نلاحظ أن كريات ال+ دم ال+ حمراء التي تحمل ال+ غذاء إلى جميع أجزاء ال+ جسم , قد تغير شكل +ها في ال+ فضاء . .","إذ لاحظ أن كرية ال+ دم ال+ أحمر الذي حمل ال+ غذاء إلى جميع جزء ال+ جسم , قد تغير شكل +ها في ال+ فضاء . .",12-lam,12,5,3,2,IAA,BAREC_Majed_0670_1991_010.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100660025,وهكذا يتتبع البخاري الحديث نقلًا عن فلان وفلان.. إلخ حتى يصل إلى قول الرسول عليه السلام.,19,وهكذا يتتبع البخاري الحديث نقلا عن فلان وفلان . . إلخ حتى يصل إلى قول الرسول عليه السلام .,هكذا تتبع بخاري حديث نقل عن فلان فلان . . الخ حتى وصل إلى قول رسول على سلام .,و+ هكذا يتتبع ال+ بخاري ال+ حديث نقلا عن فلان و+ فلان . . الخ حتى يصل إلى قول ال+ رسول على +ه ال+ سلام .,و+ هكذا تتبع ال+ بخاري ال+ حديث نقل عن فلان و+ فلان . . الخ حتى وصل إلى قول ال+ رسول على +ه ال+ سلام .,13-mim,13,5,3,2,IAA,BAREC_Majed_0670_1991_013.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100670006,ثم نبح نباحًا عاليًا وقال: انظروا إلى قوامي البديع وإلى رشاقتي وبراعتي وجمال صوتي!!,17,ثم نبح نباحا عاليا وقال : انظروا إلى قوامي البديع وإلى رشاقتي وبراعتي وجمال صوتي ! !,ثم نبح نباح عالي قال : نظر إلى قوام بديع إلى رشاقة براعة جمال صوت ! !,ثم نبح نباحا عاليا و+ قال : انظروا إلى قوام +ي ال+ بديع و+ إلى رشاقة +ي و+ براعة +ي و+ جمال صوت +ي ! !,ثم نبح نباح عالي و+ قال : نظر إلى قوام +ي ال+ بديع و+ إلى رشاقة +ي و+ براعة +ي و+ جمال صوت +ي ! !,12-lam,12,5,3,2,IAA,BAREC_Majed_0670_1991_014.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100670012,وهو صادق أيضًا حين يقول: أنا أقوى وأعظم من أي كلب في العالم.,15,وهو صادق أيضا حين يقول : أنا أقوى وأعظم من أي كلب في العالم .,هو صادق أيضا حين قال : أنا أقوى أعظم من أي كلب في عالم .,و+ هو صادق أيضا حين يقول : أنا أقوى و+ أعظم من أي كلب في ال+ عالم .,و+ هو صادق أيضا حين قال : أنا أقوى و+ أعظم من أي كلب في ال+ عالم .,10-ya,10,4,2,1,IAA,BAREC_Majed_0670_1991_014.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100670028,قال (لاكي) في نفسه: يبدو أنني على مقربة من النهر، ,14,"قال ( لاكي ) في نفسه : يبدو أنني على مقربة من النهر ,","قال ( لاكي ) في نفس : بدا أن على مقرب من نهر ,","قال ( لاكي ) في نفس +ه : يبدو أن +ني على مقربة من ال+ نهر ,","قال ( لاكي ) في نفس +ه : بدا أن +ني على مقرب من ال+ نهر ,",10-ya,10,4,2,1,IAA,BAREC_Majed_0670_1991_014.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100670032,وكانت العين تفيض بماء عذب يتلألأ ويتماوج في هدوء مصدرًا لحنًا صافيًا وبديعًا، ,14,"وكانت العين تفيض بماء عذب يتلألأ ويتماوج في هدوء مصدرا لحنا صافيا وبديعا ,","كان عين فاض ماء عذب تلألأ تماوج في هدوء مصدر لحن صافي بديع ,","و+ كانت ال+ عين تفيض ب+ ماء عذب يتلألأ و+ يتماوج في هدوء مصدرا لحنا صافيا و+ بديعا ,","و+ كان ال+ عين فاض ب+ ماء عذب تلألأ و+ تماوج في هدوء مصدر لحن صافي و+ بديع ,",10-ya,10,4,2,1,IAA,BAREC_Majed_0670_1991_014.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100670035,وقال الأرنب الحكيم للكلب (لاكي): لن تشرب من هذه العين إلا إذا أخبرتني بسر الماء ,18,وقال الأرنب الحكيم للكلب ( لاكي ) : لن تشرب من هذه العين إلا إذا أخبرتني بسر الماء,قال أرنب حكيم كلب ( لاكي ) : لن شرب من هذا عين إلا إذا أخبر سر ماء,و+ قال ال+ أرنب ال+ حكيم ل+ ال+ كلب ( لاكي ) : لن تشرب من هذه ال+ عين إلا إذا أخبرت +ني ب+ سر ال+ ماء,و+ قال ال+ أرنب ال+ حكيم ل+ ال+ كلب ( لاكي ) : لن شرب من هذا ال+ عين إلا إذا أخبر +ني ب+ سر ال+ ماء,12-lam,12,5,3,2,IAA,BAREC_Majed_0670_1991_014.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100680010,ولكن الرجل حاول أن يثنيه عن ذلك قائلًا: لا تبلل ثيابك وتفسد عطرك، ,15,"ولكن الرجل حاول أن يثنيه عن ذلك قائلا : لا تبلل ثيابك وتفسد عطرك ,","لكن رجل حاول أن أثنى عن ذلك قائل : لا بلل ثوب أفسد عطر ,","و+ لكن ال+ رجل حاول أن يثني +ه عن ذلك قائلا : لا تبلل ثياب +ك و+ تفسد عطر +ك ,","و+ لكن ال+ رجل حاول أن أثنى +ه عن ذلك قائل : لا بلل ثوب +ك و+ أفسد عطر +ك ,",12-lam,12,5,3,2,IAA,BAREC_Majed_0670_1991_015.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100690079,لذا فقد جئنا نقول لك: لا داعي لبيع دارك، فإننا سنمهلك في سداد دينك، حتى ييسر الله لك، ,22,"لذا فقد جئنا نقول لك : لا داعي لبيع دارك , فإننا سنمهلك في سداد دينك , حتى ييسر الله لك ,","ذا قد جاء قال ل : لا داعي بيع دار , إن أمهل في سداد دين , حتى يسر الله ل ,","ل+ ذا ف+ قد جئنا نقول ل +ك : لا داعي ل+ بيع دار +ك , ف+ إن +نا س+ نمهل +ك في سداد دين +ك , حتى ييسر الله ل +ك ,","ل+ ذا ف+ قد جاء قال ل +ك : لا داعي ل+ بيع دار +ك , ف+ إن +نا س+ أمهل +ك في سداد دين +ك , حتى يسر الله ل +ك ,",11-kaf,11,4,2,1,IAA,BAREC_Majed_0670_1991_016.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100690090,قال تعالى في سورة الشورى: (وأمرهم شورى بينهم),11,قال تعالى في سورة الشورى : ( وأمرهم شورى بينهم ),قال تعالى في سورة شورى : ( أمر شورى بين ),قال تعالى في سورة ال+ شورى : ( و+ أمر +هم شورى بين +هم ),قال تعالى في سورة ال+ شورى : ( و+ أمر +هم شورى بين +هم ),13-mim,13,5,3,2,IAA,BAREC_Majed_0670_1991_016.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100700012,حتى أنت؟,3,حتى أنت ؟,حتى أنت ؟,حتى أنت ؟,حتى أنت ؟,8-Ha,8,3,2,1,IAA,BAREC_Majed_0670_1991_017.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
10100700016,أهلًا بصاحب أشهر لحية في المدينة، يشرفني أن أقصها!!!,13,"أهلا بصاحب أشهر لحية في المدينة , يشرفني أن أقصها ! ! !","أهل صاحب أشهر لحية في مدينة , أشرف أن قص ! ! !","أهلا ب+ صاحب أشهر لحية في ال+ مدينة , يشرف +ني أن أقص +ها ! ! !","أهل ب+ صاحب أشهر لحية في ال+ مدينة , أشرف +ني أن قص +ها ! ! !",10-ya,10,4,2,1,IAA,BAREC_Majed_0670_1991_017.txt,Majed,Edition: 670,#,Arts & Humanities,Foundational,train
