ID,Label,Final_Prediction,Reasons,Codes,Arabic_Descriptions,Orthography,word count,Morphology,syntactic,vocab,content
10100780073,8,8,['verb_command_plural'],{'Morphology': ['M8-1']},['فعل الأمر الجمع'],,,M,,,
10100810038,10,10,"['kana_wa_akhawataha', 'advanced_khabar']","{'syntactic': ['S10-2', 'S10-3']}","['كان وأخواتها', 'خبر مقدم / مبتدأ مؤخر']",,,,S,,
10100810102,14,14,['vocab_14.0'],{'vocab': ['V14-2']},['مفردات قانونية، علمية، دينية، سياسية،... غير متخصصة/عامة'],,,,,V,
10100820031,10,10,"['kana_wa_akhawataha', 'S10-6']","{'syntactic': ['S10-2', 'S10-6']}","['كان وأخواتها', 'جملة الصلة وجملة الصفة- جملة الحال-جملة المفعول به']",,,,S,,
10100820035,3,3,['prc_Al_det'],{'Morphology': ['M3-1']},['سوابق: ال التعريف'],,,M,,,
10100820047,12,12,['S12-5'],{'syntactic': ['S12-5']},['تمييز'],,,,S,,
10100820075,8,8,['S8-1'],{'syntactic': ['S8-1']},['المفعول المطلق'],,,,S,,
10100820079,8,8,"['M8-3', 'samerMSA_2.1']","{'Morphology': ['M8-3'], 'vocab': ['V8-1']}","['سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف', 'مفردات فصيحة - سامر ١ و سامر ٢']",,,M,,V,
10100820083,9,9,['unique_words'],{'word count': ['WC']},['عدد الكلمات'],,W,,,,
10100820103,14,14,"['samerMSA_4.0', 'vocab_14.0']","{'vocab': ['V14-1', 'V14-2']}","['مفردات فصيحة - سامر ٤', 'مفردات قانونية، علمية، دينية، سياسية،... غير متخصصة/عامة']",,,,,V,
10100830039,11,11,[],{},[],,,,,,
10100830055,11,11,[],{},[],,,,,,
10100840024,3,3,['prc_Al_det'],{'Morphology': ['M3-1']},['سوابق: ال التعريف'],,,M,,,
10100880022,12,12,['M12-1'],{'Morphology': ['M12-1']},['التصغير'],,,M,,,
10100880030,12,12,['S12-1'],{'syntactic': ['S12-1']},['جمل اعتراضية  ( تفسير- دعاء...)'],,,,S,,
10100890033,10,10,['inna_wa_akhawataha'],{'syntactic': ['S10-1']},['إن وأخواتها'],,,,S,,
10100890073,12,12,['S12-1'],{'syntactic': ['S12-1']},['جمل اعتراضية  ( تفسير- دعاء...)'],,,,S,,
10100900030,11,11,['M11-1'],{'Morphology': ['M11-1']},['المشتقات على أنواعها'],,,M,,,
10100930045,14,14,"['samerMSA_4.0', 'vocab_14.0']","{'vocab': ['V14-1', 'V14-2']}","['مفردات فصيحة - سامر ٤', 'مفردات قانونية، علمية، دينية، سياسية،... غير متخصصة/عامة']",,,,,V,
10100940012,14,14,['vocab_14.0'],{'vocab': ['V14-2']},['مفردات قانونية، علمية، دينية، سياسية،... غير متخصصة/عامة'],,,,,V,
10100960022,8,8,['samerMSA_2.1'],{'vocab': ['V8-1']},['مفردات فصيحة - سامر ١ و سامر ٢'],,,,,V,
10100960037,7,7,"['broken_plural', 'samerMSA_2.0', 'content_level_2']","{'Morphology': ['M7-5'], 'vocab': ['V7-1'], 'content': ['C7-1']}","['جمع التكسير', 'مفردات فصيحة شائعة - سامر ٢', 'بعض الرمزية أو عدم التصريح المباشر بكل المقصود في الجملة']",,,M,,V,C
10100980001,9,9,"['V9-1', 'content_level_4']","{'vocab': ['V9-1'], 'content': ['C9-1']}","['مفردات تصف حالات مزاجية وشعورية إيجابية وسلبية مثل الفرح، السعادة، الغضب، الأسف، الحسرة', 'هناك شيء من الرمزية على مستوى الحدث في الجملة يدركها القارئ بنفسه أو من خلال معارفه السابقة']",,,,,V,C
10100980026,9,9,['V9-1'],{'vocab': ['V9-1']},['مفردات تصف حالات مزاجية وشعورية إيجابية وسلبية مثل الفرح، السعادة، الغضب، الأسف، الحسرة'],,,,,V,
10100990005,9,9,['vocative'],{'syntactic': ['S9-1']},['المنادى'],,,,S,,
10101020021,8,8,"['amma_lakin', 'negation_particle']","{'Morphology': ['M8-4'], 'vocab': ['V8-2']}","['(ثم  ، حتى  ، أو  ، أم  ، لكن  ، أمّا)', 'أحرف النفي']",,,M,,V,
10101020028,5,5,"['syllables', 'suf_pron', 'content_level_1']","{'Orthography': ['O'], 'Morphology': ['M5-1'], 'content': ['C5-1']}","['عدد المقاطع', 'لواحق: ضمير متصل مفرد أو جمع', 'لا رمزية في النص.']",O,,M,,,C
10101030066,12,12,['S12-1'],{'syntactic': ['S12-1']},['جمل اعتراضية  ( تفسير- دعاء...)'],,,,S,,
10101040028,7,7,"['verb_command', 'samerMSA_2.0']","{'Morphology': ['M7-3'], 'vocab': ['V7-1']}","['فعل الأمر المفرد', 'مفردات فصيحة شائعة - سامر ٢']",,,M,,V,
10101060023,2,2,"['syllables', 'unique_words', 'idafa_hakikiya', 'vocab_2.0']","{'Orthography': ['O'], 'word count': ['WC'], 'syntactic': ['S2-1'], 'vocab': ['V2-2']}","['عدد المقاطع', 'عدد الكلمات', 'إضافة حقيقية (باب بيت / بيت مريم)', 'مفردات متشابهة مع العامية - سامر ١']",O,W,,S,V,
10101150003,5,5,"['syllables', 'suf_pron', 'content_level_1']","{'Orthography': ['O'], 'Morphology': ['M5-1'], 'content': ['C5-1']}","['عدد المقاطع', 'لواحق: ضمير متصل مفرد أو جمع', 'لا رمزية في النص.']",O,,M,,,C
10101150027,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10101150029,11,11,"['M11-1', 'content_level_5']","{'Morphology': ['M11-1'], 'content': ['C11-1']}","['المشتقات على أنواعها', 'هناك درجة من الرمزية وحاجة للمعرفة السابقة كي يُفهم المقصود من الجملة']",,,M,,,C
10101150134,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10101150163,12,12,[],{},[],,,,,,
10101160099,9,9,"['V9-1', 'content_level_4']","{'vocab': ['V9-1'], 'content': ['C9-1']}","['مفردات تصف حالات مزاجية وشعورية إيجابية وسلبية مثل الفرح، السعادة، الغضب، الأسف، الحسرة', 'هناك شيء من الرمزية على مستوى الحدث في الجملة يدركها القارئ بنفسه أو من خلال معارفه السابقة']",,,,,V,C
10101160106,8,8,['amma_lakin'],{'Morphology': ['M8-4']},['(ثم  ، حتى  ، أو  ، أم  ، لكن  ، أمّا)'],,,M,,,
10101170031,7,7,"['broken_plural', 'samerMSA_2.0', 'content_level_2']","{'Morphology': ['M7-5'], 'vocab': ['V7-1'], 'content': ['C7-1']}","['جمع التكسير', 'مفردات فصيحة شائعة - سامر ٢', 'بعض الرمزية أو عدم التصريح المباشر بكل المقصود في الجملة']",,,M,,V,C
10101170050,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10101170092,7,7,"['O7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'مفردات فصيحة شائعة - سامر ٢']",O,,,,V,
10101170103,7,7,"['O7-1', 'broken_plural', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'Morphology': ['M7-5'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'جمع التكسير', 'مفردات فصيحة شائعة - سامر ٢']",O,,M,,V,
10101170168,12,12,['S12-1'],{'syntactic': ['S12-1']},['جمل اعتراضية  ( تفسير- دعاء...)'],,,,S,,
10101170169,12,12,['S12-1'],{'syntactic': ['S12-1']},['جمل اعتراضية  ( تفسير- دعاء...)'],,,,S,,
10101180033,11,11,"['M11-1', 'content_level_5']","{'Morphology': ['M11-1'], 'content': ['C11-1']}","['المشتقات على أنواعها', 'هناك درجة من الرمزية وحاجة للمعرفة السابقة كي يُفهم المقصود من الجملة']",,,M,,,C
10101180047,5,5,"['syllables', 'content_level_1']","{'Orthography': ['O'], 'content': ['C5-1']}","['عدد المقاطع', 'لا رمزية في النص.']",O,,,,,C
10101180089,12,12,['S12-4'],{'syntactic': ['S12-4']},['بدل (غير ما بعد الإشارة أو بدل الكل).. مثلا بدل بعض أو اشتمال (الرغيفَ ثلثَهُ،المعلمُ علمُهُ)'],,,,S,,
10101290015,10,10,"['passive_voice', 'S10-6']","{'Morphology': ['M10-1'], 'syntactic': ['S10-6']}","['المبني للمجهول', 'جملة الصلة وجملة الصفة- جملة الحال-جملة المفعول به']",,,M,S,,
10101290028,11,11,[],{},[],,,,,,
10101290051,9,9,"['V9-1', 'content_level_4']","{'vocab': ['V9-1'], 'content': ['C9-1']}","['مفردات تصف حالات مزاجية وشعورية إيجابية وسلبية مثل الفرح، السعادة، الغضب، الأسف، الحسرة', 'هناك شيء من الرمزية على مستوى الحدث في الجملة يدركها القارئ بنفسه أو من خلال معارفه السابقة']",,,,,V,C
10101290100,11,11,"['M11-1', 'idafa_lafzia', 'content_level_5']","{'Morphology': ['M11-1'], 'syntactic': ['S11-2'], 'content': ['C11-1']}","['المشتقات على أنواعها', 'إضافة خيالية (لفظية) طويل القامة', 'هناك درجة من الرمزية وحاجة للمعرفة السابقة كي يُفهم المقصود من الجملة']",,,M,S,,C
10101300012,14,14,['vocab_14.0'],{'vocab': ['V14-2']},['مفردات قانونية، علمية، دينية، سياسية،... غير متخصصة/عامة'],,,,,V,
10101320013,12,12,"['S12-1', 'samerMSA_3.0']","{'syntactic': ['S12-1'], 'vocab': ['V12-1']}","['جمل اعتراضية  ( تفسير- دعاء...)', 'مفردات فصيحة - سامر ٣']",,,,S,V,
10101330003,6,6,[],{},[],,,,,,
10101350024,8,8,"['M8-3', 'samerMSA_2.1', 'content_level_3']","{'Morphology': ['M8-3'], 'vocab': ['V8-1'], 'content': ['C8-1']}","['سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف', 'مفردات فصيحة - سامر ١ و سامر ٢', 'بعض الرمزية يحتاج معها القارئ إلى مساعدة من يشرح له المقصود من الفكرة']",,,M,,V,C
10101360039,1,1,"['syllables', 'unique_words', 'S1-1', 'samerMSA_1.0', 'content_level_0']","{'Orthography': ['O'], 'word count': ['WC'], 'syntactic': ['S1-1'], 'vocab': ['V1-4'], 'content': ['C1-1']}","['عدد المقاطع', 'عدد الكلمات', 'كلمة واحدة (لا تراكيب نحوية ممكنة)', 'مفردات متطابقة مع العامية - سامر ١', 'فكرة مباشرة وصريحة وحسية.']",O,W,,S,V,C
10101390031,14,14,"['samerMSA_4.0', 'vocab_14.0']","{'vocab': ['V14-1', 'V14-2']}","['مفردات فصيحة - سامر ٤', 'مفردات قانونية، علمية، دينية، سياسية،... غير متخصصة/عامة']",,,,,V,
10101420001,9,9,"['V9-1', 'content_level_4']","{'vocab': ['V9-1'], 'content': ['C9-1']}","['مفردات تصف حالات مزاجية وشعورية إيجابية وسلبية مثل الفرح، السعادة، الغضب، الأسف، الحسرة', 'هناك شيء من الرمزية على مستوى الحدث في الجملة يدركها القارئ بنفسه أو من خلال معارفه السابقة']",,,,,V,C
10101430067,10,10,"['passive_voice', 'kana_wa_akhawataha']","{'Morphology': ['M10-1'], 'syntactic': ['S10-2']}","['المبني للمجهول', 'كان وأخواتها']",,,M,S,,
10101430068,12,12,['S12-5'],{'syntactic': ['S12-5']},['تمييز'],,,,S,,
10101440027,7,7,"['verb_command', 'samerMSA_2.0']","{'Morphology': ['M7-3'], 'vocab': ['V7-1']}","['فعل الأمر المفرد', 'مفردات فصيحة شائعة - سامر ٢']",,,M,,V,
10101450015,6,6,"['syllables', 'samerMSA_1.0-msa']","{'Orthography': ['O'], 'vocab': ['V6-1']}","['عدد المقاطع', 'مفردات فصيحة - سامر ١']",O,,,,V,
10101470015,8,8,"['M8-3', 'samerMSA_2.1']","{'Morphology': ['M8-3'], 'vocab': ['V8-1']}","['سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف', 'مفردات فصيحة - سامر ١ و سامر ٢']",,,M,,V,
10101470058,12,12,"['S12-1', 'samerMSA_3.0']","{'syntactic': ['S12-1'], 'vocab': ['V12-1']}","['جمل اعتراضية  ( تفسير- دعاء...)', 'مفردات فصيحة - سامر ٣']",,,,S,V,
10101520021,10,10,['advanced_khabar'],{'syntactic': ['S10-3']},['خبر مقدم / مبتدأ مؤخر'],,,,S,,
10101520094,5,5,"['interrogative_tools', 'content_level_1']","{'syntactic': ['S5-3'], 'content': ['C5-1']}","['أدوات استفهام أساسية: ماذا، متى، من، أين، ما،كيف', 'لا رمزية في النص.']",,,,S,,C
10101520098,7,7,"['O7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'مفردات فصيحة شائعة - سامر ٢']",O,,,,V,
10101520134,13,13,['V13-1'],{'vocab': ['V13-1']},['كلمات تصف حالات نفسية عميقة مثل الاكتئاب، الضياع، الاستنفار النفسي'],,,,,V,
10101520135,7,7,"['O7-1', 'S7-1', 'samerMSA_2.0', 'content_level_2']","{'Orthography': ['O7-1'], 'syntactic': ['S7-1'], 'vocab': ['V7-1'], 'content': ['C7-1']}","['أفعال/أسماء معتلة الآخر', 'مفعول فيه (ظروف زمان ومكان)', 'مفردات فصيحة شائعة - سامر ٢', 'بعض الرمزية أو عدم التصريح المباشر بكل المقصود في الجملة']",O,,,S,V,C
10101520140,10,10,"['kana_wa_akhawataha', 'S10-6']","{'syntactic': ['S10-2', 'S10-6']}","['كان وأخواتها', 'جملة الصلة وجملة الصفة- جملة الحال-جملة المفعول به']",,,,S,,
10101520143,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10101550014,7,7,"['O7-1', 'verb_command', 'S7-1', 'samerMSA_2.0', 'content_level_2']","{'Orthography': ['O7-1'], 'Morphology': ['M7-3'], 'syntactic': ['S7-1'], 'vocab': ['V7-1'], 'content': ['C7-1']}","['أفعال/أسماء معتلة الآخر', 'فعل الأمر المفرد', 'مفعول فيه (ظروف زمان ومكان)', 'مفردات فصيحة شائعة - سامر ٢', 'بعض الرمزية أو عدم التصريح المباشر بكل المقصود في الجملة']",O,,M,S,V,C
10101560014,7,7,"['O7-1', 'samerMSA_2.0']","{'Orthography': ['O7-1'], 'vocab': ['V7-1']}","['أفعال/أسماء معتلة الآخر', 'مفردات فصيحة شائعة - سامر ٢']",O,,,,V,
10101570004,12,12,['samerMSA_3.0'],{'vocab': ['V12-1']},['مفردات فصيحة - سامر ٣'],,,,,V,
10101570024,12,12,['V12-4'],{'vocab': ['V12-4']},['ذو'],,,,,V,
10101570027,7,7,['samerMSA_2.0'],{'vocab': ['V7-1']},['مفردات فصيحة شائعة - سامر ٢'],,,,,V,
10101580033,13,13,['S13-1'],{'syntactic': ['S13-1']},['الجمل شرطية ( مركبة - عادية)'],,,,S,,
10101590012,12,12,['S12-1'],{'syntactic': ['S12-1']},['جمل اعتراضية  ( تفسير- دعاء...)'],,,,S,,
10101600018,6,6,['samerMSA_1.0-msa'],{'vocab': ['V6-1']},['مفردات فصيحة - سامر ١'],,,,,V,
10101610043,8,8,"['M8-3', 'samerMSA_2.1']","{'Morphology': ['M8-3'], 'vocab': ['V8-1']}","['سوابق أخرى: سين الاستقبال ، واو الاستئناف، فاء العطف', 'مفردات فصيحة - سامر ١ و سامر ٢']",,,M,,V,
10101610060,6,6,[],{},[],,,,,,
10101620007,7,7,"['S7-1', 'S7-2', 'samerMSA_2.0']","{'syntactic': ['S7-1', 'S7-2'], 'vocab': ['V7-1']}","['مفعول فيه (ظروف زمان ومكان)', 'حال', 'مفردات فصيحة شائعة - سامر ٢']",,,,S,V,
