used_as_shots_for_fold,sourced_from_fold,level,sentence,codes
A,B,15,أحد النقوش البارزة  (أ) الأثار  (ب) الأوستراكا  (ج) صلابة الملك نعرمر,"[""V15-1""]"
A,B,15,الإستراتيجية المركَّبة، ويقصد بها اختيار ما هو مرغوب وأكثر احتمالًا للنجاح، وهي أصعب الإستراتيجيات.,"[""V15-1""]"
A,B,16,وتماشيًا مع الفلسفة الاقتصادية السائدة آنذاك — المذهب المركنتلي (التجاري) — كانت هذه التجارة برمتها تُدار في شكل احتكار كي تعود بأعلى الأرباح على المملكة الفرنسية ومن ينوبون عنها.,"[""V16-2""]"
A,B,16,تتولى الدولة تأهيل القرى والمدن على مقتضيات العدالة الاجتماعية والتنمية المستدامة والمتوازنة ومؤشراتها والاستغلال الرشيد للثروة. وتضمن توزيعا عادلا للمشروعات والمصالح والشركات العامة والخدمات بين المدن كافة بما يكفل توزيع فرص العمل وتشجيع الاستثمار والأنشطة المناسبة فيها. وذلك كله بما يضمن إزالة الاختلال التنموي,"[""V16-2""]"
A,B,16,الوحدة الوظيفية الهرمونية للخصية  (أ) خلايا سرتولى  (ب) خلايا جرثومية أمية  (ج) خلايا بينية  (د) أنيبيبات منوية,"[""V16-2""]"
A,B,17,فـلـهـا هـبـابٌ فـي الـزِّمــامِ كـأنَّـها صهباءُ خَفَّ مع الجنوبِ جَـهَامُـها,"[""V17""]"
A,B,17,المقصود بموقع هذه الخلايا وانتشارها يدعم النبات  (أ) الخلايا الاسكلرنشيميه والكولنشيميه  (ب) البرنشيميه والكولنشيميه  (ج) الكلورنشيميه والبرانشيميه,"[""V17""]"
A,B,17,والتاو ليس شخصية إلهية بل هو القاع الكلي للوجود، والحقيقة المطلقة التي يقوم بها كل نسبي، ,"[""V17""]"
A,B,18,عُلِّقْتُهَا عَرَضَاً وَاقْتُـلُ قَوْمَهَا زَعْمَاً لَعَمْرُ أَبِيكَ لَيْسَ بِمَزْعَـمِ,"[""V18""]"
A,B,18,وَتَحْمِلُنَـا غَدَاةَ الرَّوْعِ جُـرْدٌ عُـرِفْنَ لَنَا نَقَـائِذَ وَافْتُلِيْنَـا,"[""V18""]"
A,B,19,عَشَـوْزَنَةً إِذَا انْقَلَبَتْ أَرَنَّـتْ تَشُـجُّ قَفَا المُثَقِّـفِ وَالجَبِيْنَـا,"[""V19"", ""C-O""]"
A,B,19,يَبْهَظُ المِفضَلَ مِن أَردَافِهَا,"[""V19""]"
A,B,19,تباري عتاقًا ناجياتٍ وأتبعت وظيفًا وظيفًا فوق مورٍ معبد,"[""V19""]"
B,A,1,كرة ,"[""O"", ""WC"", ""S1-1"", ""V1-3""]"
B,A,1,سكر..,"[""O"", ""WC""]"
B,A,2,ضارِبٌ,"[""WC""]"
B,A,2,جيمز غيتش,"[""WC""]"
B,A,2,تسعة..,"[""V2-5""]"
B,A,3,مأرب – اليمن,"[""M3-1""]"
B,A,3,الكرك – الأردن,"[""M3-1""]"
B,A,3,صنعاء – اليمن,"[""M3-1""]"
B,A,4,نحن نفتح في التاسعة صباحاً .,"[""M4-3""]"
B,A,4,شريانٌ في العنقِ,"[""S4-2"", ""V4-1""]"
B,A,4,الثورة! ...,"[""C-O""]"
B,A,5,هُما جَنَّتي وَحَياتي، ,"[""S5-2""]"
B,A,5,ابنتي حبيبتي,"[""O""]"
B,A,5,الطبعة السادسة عشرة,"[""V5-1""]"
B,A,6,أنرت الطريق ,"[""M6-1""]"
B,A,6,سُلوكي مَسْؤولِيَّتي,"[""O""]"
B,A,6,مدرسة الصفوة الداخلية للفتيات,"[""O""]"
B,A,7,أُرَكِّبُ الكَلِمَةَ مَعَ مَعْناها المُناسِبِ:,"[""S7-1""]"
B,A,7,قالَ تَعالَى: [الْبَقْرَةِ],"[""O7-1""]"
B,A,7,غطي الوجه بالقشطة والصنوبر والقرفة وقدميه..,"[""M7-3""]"
B,A,8,أُسَمِّعَ الآياتِ الكَريمَةَ تَسْميعًا مُتْقَنًا.,"[""S8-1"", ""V8-1""]"
B,A,8,واستطاعت الضفدعة أن تقفز وتنجو بفضل صبرها وشجاعتها.,"[""M8-3""]"
B,A,8,أسمِّعَ الآياتِ الكريمةَ تسميعًا متقنًا.,"[""S8-1""]"
B,A,9,رَحْمَنُ يا رَحْمَن,"[""S9-1""]"
B,A,9,"فراح يشجع نفسه قائلًا: ساعة من العذاب، ثم راحة باقي الحياة"".","[""V9-1""]"
B,A,9,كل سمكة تحمل على عينيها ضوءاً يشبه أضواء سيارة في ظلام الليل، ,"[""WC""]"
B,A,10,توجد كنيسة سيدة الجبل في …….  (أ) عنجرة  (ب) الكرك  (ج) مأدبا,"[""M10-1""]"
B,A,10,وتهدينا الحياة اضواء في اخر النفق,"[""M10-1""]"
B,A,10,كان زنكار يذهب في رحلات صيد بعيدة، تشغله كثيرًا عن أمور الحكم.,"[""S10-2""]"
B,A,11,وبعد أن أغلق صندوقَه بعنايةٍ في مكانه المُعتاد، وقف لبضعِ ثوانٍ عند الباب المفتوح يَنظر منه إلى الحديقة.,"[""WC""]"
B,A,11,بالعودةِ إلَى حواشي النَّصِّ، وشبكةِ المعلوماتِ، أوْ إلَى أيِّ مصدرٍ آخرَ منْ مصادرِ التَّعلُّمِ أملأُ البطاقةَ الآتيةَ:,"[""WC""]"
B,A,11,وبعد دقائق قليلةٍ من انتشار الليل، سمع هذا الأخ الأكبر، حفيف إشجارٍ في الغابة، أعقبه نعيق بومة، فطار النعاس من عينيه، ,"[""WC""]"
B,A,12,كانت السيدة عائشة رضي الله عنها تؤم النساء، وتقف معهن في الصف.,"[""S12-1"", ""V12-1""]"
B,A,12,ولكن في الحقيقة منذ انتشرت هذه الوسائل توقف الناس عن التجمع مع بعضهم وقطعوا صلة الرحم واعتبروا هذه الوسائل كطريقة أسهل لكي يباركوا للناس ويهنئوهم بدلا أن يحضروا .,"[""WC"", ""V12-1""]"
B,A,12,هاجر وانتشر أبناؤه حول العالم منذ أيام الفينيقيين، وحاليًّا فإن عدد اللبنانيين المهاجرين يُقدَّر بضعف عدد اللبنانيين المقيمين.,"[""V12-1""]"
B,A,13,وهذا لأننا نفترض أن الإعلان يلعب على وتر الإقناع، ,"[""V13-1""]"
B,A,13,إِذَا اؤْتُمِنَ خَانَ وَإِذَا حَدَّثَ كَذَبَ وَإِذَا عَاهَدَ غَدَرَ ، وَإِذَا خَاصَمَ فَجَرَ,"[""S13-1""]"
B,A,13,وكان مما يثير دهشتها، أن الغابات خضر على وجه الأرض وأن الأزهار فيها يتضوع منها عطر لا تثبته تحت الماء.,"[""V13-1""]"
B,A,14,وغزوةُ الفتح انتهت بفارسٍ,"[""V14-1""]"
B,A,14,كما قُدِّر لِلعُثمانيين أن يفتتحوا القسطنطينية سنة 1453م، ويُسقطوا الإمبراطوريَّة البيزنطيَّة بعد أن عاشت أحد عشر قرنًا ونيفًا، وذلك تحت قيادة السُلطان محمد الفاتح.,"[""V14-2""]"
B,A,14,تضمن الدولة حرية تكوين منظمات المجتمع المدني والانتساب إليها وفق المعايير اللازمة للتوازن بين متطلبات استقلالها ولوازم الشفافية. ولا يجوز وقفها عن عملها إلا بأمر قضائي ولا حلها إلا بحكم قضائي,"[""V14-2""]"
B,A,15,وبعد ستة أعوام من تولِّيه الخِلافة، عاد المأمُون إلى العاصِمة بَغْدَاد، وأعاد لِباس ورايات بني العبَّاس المُعتاد والمُكوَّن من السَّواد، وبدأ حُكمهُ بنفسِه دون أي تأثير عليه مثل الفَضْل.,"[""V15-1""]"
B,A,15,بعد انتهاء الحروب البونيقية، انتقلت المنطقة إلى مرحلة حكم بوكوس الأول وجوبا الثاني، عاهلي مملكة موريطنية، التابعة لروما.,"[""V15-1""]"
B,A,15,في عهد الخليفة العباسي المأمون ضربت نقود تحمل اسم  (أ) إيلياء  (ب) الرملة  (ج) عسقلان  (د) القدس,"[""V15-1""]"
B,A,16,-هرمون يعمل في مكان إفرازه  (أ) الادرينالين  (ب) الجاسترين  (ج) الانسولين,"[""V16-2""]"
B,A,16,في الجزء الأول من الكتاب الأول من الأكاديميين، قدم شيشرون تقسيم الفلسفة إلى المنطق والفيزياء والأخلاق.,"[""V16-2""]"
B,A,16,يضمن هذا الدستور الحفاظ على الهوية الاسلامية لغالبية الشعب العراقي، كما ويضمن كامل الحقوق الدينية لجميع الافراد في حرية العقيدة والممارسة الدينية كالمسيحيين والآيزديين والصابئة المندائيين .,"[""V16-2""]"
B,A,17,تنتج جزيئات ATP في جميع المراحل التالية ما عدا :  (أ) الفسفرة التأكسدية  (ب) أكسدة البيروفيت  (ج) التحلل الغلايكولي  (د) حلقة كربس,"[""V17""]"
B,A,17,الثنوية الكونية هي معتقد تمَّ تطويره في ارتباط مع معتقد التوحيد، وذلك في المنطقة المشرقية فيما بين أوائل الألف الأول قبل الميلاد وأواسط الألف الأول بعد الميلاد، ,"[""V17""]"
B,A,17,بين طعن القَنا وخَفْق البُنودِ,"[""V17""]"
B,A,18,يستكمل المخطط الذهني لمجالات التحديات المائية لمؤشر كفاية المياه.,"[""V18""]"
B,A,19,وَكَأَنَّمَا أَقِصَ الإِكَامَ عَشِيَّـةً بِقَرِيبِ بَيْنَ المَنْسِمَيْـنِ مُصَلَّـمِ,"[""V19""]"
B,A,19,كأن حدوج المالكية غدوةً خلايا سفينٍ بالنواصف من دد,"[""V19""]"
